,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_learning_rate,param_max_depth,param_n_estimators,param_reg_alpha,param_reg_lambda,params,split0_test_acc,split1_test_acc,split2_test_acc,split3_test_acc,split4_test_acc,mean_test_acc,std_test_acc,rank_test_acc,split0_test_R2,split1_test_R2,split2_test_R2,split3_test_R2,split4_test_R2,mean_test_R2,std_test_R2,rank_test_R2
372,0.4454684257507324,0.0021960031287728125,0.009287691116333008,0.00018960700356231283,0.1,2,1024,0.0003,1e-06,"{'learning_rate': 0.1, 'max_depth': 2, 'n_estimators': 1024, 'reg_alpha': 0.0003, 'reg_lambda': 1e-06}",0.616,0.576,0.592,0.6,0.62,0.7708,0.016079800993793438,555,0.616,0.576,0.592,0.6,0.62,0.6008,0.016079800993793438,555
375,0.44638643264770506,0.0050650999021072795,0.009275293350219727,0.0001868143438984336,0.1,2,1024,0.0003,1e-05,"{'learning_rate': 0.1, 'max_depth': 2, 'n_estimators': 1024, 'reg_alpha': 0.0003, 'reg_lambda': 1e-05}",0.616,0.576,0.592,0.6,0.62,0.7708,0.016079800993793438,555,0.616,0.576,0.592,0.6,0.62,0.6008,0.016079800993793438,555
374,0.4441834449768066,0.007588073265982272,0.009405946731567383,0.0003183839098678054,0.1,2,1024,0.0003,5e-06,"{'learning_rate': 0.1, 'max_depth': 2, 'n_estimators': 1024, 'reg_alpha': 0.0003, 'reg_lambda': 5e-06}",0.616,0.576,0.592,0.6,0.62,0.7708,0.016079800993793438,555,0.616,0.576,0.592,0.6,0.62,0.6008,0.016079800993793438,555
382,0.44963722229003905,0.006230138698390295,0.009266138076782227,0.0004971619554736988,0.1,2,1024,0.003,5e-06,"{'learning_rate': 0.1, 'max_depth': 2, 'n_estimators': 1024, 'reg_alpha': 0.003, 'reg_lambda': 5e-06}",0.616,0.584,0.6,0.6,0.6,0.77,0.010119288512538823,568,0.616,0.584,0.6,0.6,0.6,0.6,0.010119288512538823,568
381,0.4483428955078125,0.010448555003825553,0.009231472015380859,0.00041033508437432015,0.1,2,1024,0.003,3e-06,"{'learning_rate': 0.1, 'max_depth': 2, 'n_estimators': 1024, 'reg_alpha': 0.003, 'reg_lambda': 3e-06}",0.616,0.584,0.6,0.6,0.6,0.77,0.010119288512538823,568,0.616,0.584,0.6,0.6,0.6,0.6,0.010119288512538823,568
440,0.5397721290588379,0.010052688827480817,0.01244525909423828,0.00012046556367348699,0.1,3,1024,0.001,1e-06,"{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 1024, 'reg_alpha': 0.001, 'reg_lambda': 1e-06}",0.62,0.572,0.604,0.592,0.612,0.77,0.01678094157072244,568,0.62,0.572,0.604,0.592,0.612,0.6,0.01678094157072244,568
376,0.45398483276367185,0.007804100519165465,0.00926957130432129,0.0003992395985450593,0.1,2,1024,0.001,1e-06,"{'learning_rate': 0.1, 'max_depth': 2, 'n_estimators': 1024, 'reg_alpha': 0.001, 'reg_lambda': 1e-06}",0.628,0.58,0.576,0.592,0.624,0.77,0.021908902300206663,568,0.628,0.58,0.576,0.592,0.624,0.6,0.021908902300206663,568
729,0.13981690406799316,0.0030528938019441084,0.005649948120117187,0.00015347110422869316,0.3,3,256,0.001,3e-06,"{'learning_rate': 0.3, 'max_depth': 3, 'n_estimators': 256, 'reg_alpha': 0.001, 'reg_lambda': 3e-06}",0.62,0.608,0.604,0.568,0.6,0.77,0.017343586710943056,568,0.62,0.608,0.604,0.568,0.6,0.6,0.017343586710943056,568
377,0.4410568714141846,0.008022026559805039,0.009034347534179688,0.00024971873199643076,0.1,2,1024,0.001,3e-06,"{'learning_rate': 0.1, 'max_depth': 2, 'n_estimators': 1024, 'reg_alpha': 0.001, 'reg_lambda': 3e-06}",0.628,0.58,0.576,0.592,0.624,0.77,0.021908902300206663,568,0.628,0.58,0.576,0.592,0.624,0.6,0.021908902300206663,568
378,0.4420176982879639,0.005328288098942601,0.009171342849731446,0.00016360202984793987,0.1,2,1024,0.001,5e-06,"{'learning_rate': 0.1, 'max_depth': 2, 'n_estimators': 1024, 'reg_alpha': 0.001, 'reg_lambda': 5e-06}",0.628,0.58,0.576,0.592,0.624,0.77,0.021908902300206663,568,0.628,0.58,0.576,0.592,0.624,0.6,0.021908902300206663,568
379,0.44185576438903806,0.002873579531109633,0.009025907516479493,9.683594169252186e-05,0.1,2,1024,0.001,1e-05,"{'learning_rate': 0.1, 'max_depth': 2, 'n_estimators': 1024, 'reg_alpha': 0.001, 'reg_lambda': 1e-05}",0.628,0.58,0.576,0.592,0.624,0.77,0.021908902300206663,568,0.628,0.58,0.576,0.592,0.624,0.6,0.021908902300206663,568
380,0.44423975944519045,0.004640799436134198,0.009072971343994141,0.00011183314641897055,0.1,2,1024,0.003,1e-06,"{'learning_rate': 0.1, 'max_depth': 2, 'n_estimators': 1024, 'reg_alpha': 0.003, 'reg_lambda': 1e-06}",0.616,0.584,0.6,0.6,0.6,0.77,0.010119288512538823,568,0.616,0.584,0.6,0.6,0.6,0.6,0.010119288512538823,568
728,0.14210662841796876,0.007225489072897623,0.005585289001464844,9.634371765925961e-05,0.3,3,256,0.001,1e-06,"{'learning_rate': 0.3, 'max_depth': 3, 'n_estimators': 256, 'reg_alpha': 0.001, 'reg_lambda': 1e-06}",0.62,0.608,0.604,0.568,0.6,0.77,0.017343586710943056,568,0.62,0.608,0.604,0.568,0.6,0.6,0.017343586710943056,568
535,0.18595285415649415,0.0058304640788666325,0.0074615001678466795,3.843656528800951e-05,0.1,5,256,0.0003,1e-05,"{'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 256, 'reg_alpha': 0.0003, 'reg_lambda': 1e-05}",0.62,0.592,0.592,0.592,0.604,0.77,0.011027239001672188,568,0.62,0.592,0.592,0.592,0.604,0.6,0.011027239001672188,568
441,0.5396500110626221,0.008567196867004174,0.012351369857788086,0.0002907653758731991,0.1,3,1024,0.001,3e-06,"{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 1024, 'reg_alpha': 0.001, 'reg_lambda': 3e-06}",0.62,0.572,0.604,0.592,0.612,0.77,0.01678094157072244,568,0.62,0.572,0.604,0.592,0.612,0.6,0.01678094157072244,568
